starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	1	26	28	26
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	5	22	28	19
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	5	22	28	22
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	24
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	25
Tue Jun 19 18:00:39 2018	1529402439	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	28	27
Tue Jun 19 18:00:38 2018	1529402438	1	27	28	24
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	5	22	28	22
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	25
Tue Jun 19 18:00:39 2018	1529402439	0	28	28	27
Tue Jun 19 18:00:38 2018	1529402438	0	28	28	27
