starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	0	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	2	32	34	32
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	27
Tue Jun 19 18:21:56 2018	1529403716	2	32	34	31
Tue Jun 19 18:21:57 2018	1529403717	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	25
Tue Jun 19 18:21:57 2018	1529403717	0	34	34	30
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	32
Tue Jun 19 18:21:57 2018	1529403717	0	34	34	33
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	27
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:57 2018	1529403717	2	32	34	32
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:57 2018	1529403717	1	33	34	32
Tue Jun 19 18:21:57 2018	1529403717	1	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	33
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:57 2018	1529403717	2	33	34	30
Tue Jun 19 18:21:57 2018	1529403717	0	34	34	33
Tue Jun 19 18:21:57 2018	1529403717	0	34	34	33
Tue Jun 19 18:21:57 2018	1529403717	1	33	34	30
Tue Jun 19 18:21:56 2018	1529403716	1	34	34	33
Tue Jun 19 18:21:57 2018	1529403717	2	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	3	32	34	28
Tue Jun 19 18:21:56 2018	1529403716	3	32	34	28
Tue Jun 19 18:21:56 2018	1529403716	4	31	34	30
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	1	34	34	31
Tue Jun 19 18:21:56 2018	1529403716	2	32	34	28
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	31
Tue Jun 19 18:21:56 2018	1529403716	1	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	33
Tue Jun 19 18:21:57 2018	1529403717	2	32	34	32
Tue Jun 19 18:21:57 2018	1529403717	2	32	34	32
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	34
Tue Jun 19 18:21:56 2018	1529403716	3	31	34	28
Tue Jun 19 18:21:56 2018	1529403716	3	31	34	28
Tue Jun 19 18:21:57 2018	1529403717	2	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	2	33	35	29
Tue Jun 19 18:21:57 2018	1529403717	3	31	35	31
Tue Jun 19 18:21:57 2018	1529403717	1	34	35	30
Tue Jun 19 18:21:56 2018	1529403716	2	33	35	29
Tue Jun 19 18:21:56 2018	1529403716	0	34	35	32
Tue Jun 19 18:21:56 2018	1529403716	0	34	35	34
Tue Jun 19 18:21:57 2018	1529403717	1	34	35	34
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	34
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	31
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	34
Tue Jun 19 18:21:56 2018	1529403716	1	34	35	30
Tue Jun 19 18:21:57 2018	1529403717	0	34	35	33
